index,小区,市区,价格,户型,楼层,面积,朝向,装修,电梯
121,翡翠城,道里,95.0,2室1厅1厨1卫,低楼层 ,93.56,南,精装,有
122,君贵东方瑞景,南岗,105.0,2室1厅1厨1卫,高楼层 ,78.83,南,简装,有
123,四季上东第二期,香坊,238.0,3室2厅1厨2卫,高楼层 ,176.0,南,精装,有
124,通江胡同,道里,199.0,3室2厅1厨2卫,高楼层 ,211.66,南,其他,未知
125,香树湾,松北,115.0,3室2厅1厨2卫,高楼层 ,120.85,南,其他,有
126,福顺尚都,南岗,174.0,3室2厅1厨2卫,低楼层 ,145.54,南,精装,未知
127,三辅三道街27号,香坊,96.8,3室2厅1厨2卫,高楼层 ,166.98,南,精装,未知
128,文化大院,南岗,88.0,1室1厅1厨1卫,低楼层 ,33.0,南,简装,未知
129,哈西民主家园,道里,47.0,1室1厅1厨1卫,中楼层 ,58.44,东,简装,有
130,海富康城,道里,34.0,2室1厅1厨1卫,高楼层 ,78.49,东南,简装,未知
131,碧江名苑,道里,102.0,2室1厅1厨1卫,中楼层 ,126.0,南 东南,其他,有
132,三姓街,南岗,80.0,3室1厅1厨1卫,高楼层 ,128.0,南,精装,无
133,康泰嘉园,道里,105.0,2室1厅1厨1卫,高楼层 ,119.88,南,其他,有
134,文景街,南岗,65.0,2室1厅1厨2卫,中楼层 ,133.0,东,精装,未知
135,海富锦园,道里,58.0,1室0厅1厨1卫,高楼层 ,45.22,南,其他,有
136,亚麻小区,香坊,68.0,2室1厅1厨1卫,中楼层 ,59.69,东,精装,无
137,群力家园C区,道里,118.0,2室1厅1厨1卫,低楼层 ,125.0,南,简装,有
138,司徒街,香坊,57.8,2室1厅1厨1卫,中楼层 ,88.14,南,其他,未知
139,南郡豪庭,平房,76.5,2室1厅1厨1卫,中楼层 ,54.0,南,其他,未知
140,永吉家园,香坊,74.0,5室3厅1厨2卫,高楼层 ,200.26,南,简装,无
141,融创中园,松北,98.0,3室2厅1厨1卫,高楼层 ,107.0,南,其他,未知
142,三辅街,香坊,75.0,3室1厅1厨1卫,中楼层 ,123.01,东,精装,无
143,龙职师苑,南岗,33.0,1室1厅1厨1卫,中楼层 ,49.0,南,简装,无
144,宝宇凯旋城一期,道里,166.0,3室2厅1厨2卫,低楼层 ,166.0,南,其他,有
145,财智公馆,道里,175.0,3室1厅1厨1卫,低楼层 ,125.77,南,精装,有
146,北岸明珠,松北,88.0,2室1厅1厨1卫,高楼层 ,107.0,南,精装,无
147,中北春城,香坊,109.0,2室2厅1厨1卫,中楼层 ,109.97,东,其他,无
148,达江小区,道里,45.0,2室1厅1厨1卫,高楼层 ,69.94,东,简装,无
149,新新家园,南岗,215.0,3室2厅1厨1卫,高楼层 ,184.74,南 东,其他,有
150,福顺尚都,南岗,48.0,1室0厅1厨1卫,低楼层 ,41.16,北,简装,有
151,科技公寓,香坊,57.0,2室1厅1厨1卫,中楼层 ,72.25,东,精装,无
152,地德里小区(地工街),道里,19.8,2室1厅1厨1卫,高楼层 ,55.0,南,其他,无
153,大正臻园,松北,230.0,3室2厅3厨2卫,低楼层 ,188.0,南,毛坯,有
154,珠江帝景,香坊,67.5,1室1厅1厨1卫,中楼层 ,67.89,南,简装,有
155,下夹树街,南岗,28.0,1室1厅1厨1卫,高楼层 ,37.28,南,简装,无
156,华山小区,南岗,14.0,2室1厅1厨1卫,高楼层 ,50.0,南,简装,无
157,文化家园,南岗,137.0,3室1厅1厨2卫,中楼层 ,139.7,南,简装,未知
158,江畔方元,道外,49.5,2室1厅1厨1卫,低楼层 ,66.0,东,其他,无
159,松滨里小区,道里,75.0,3室2厅1厨1卫,低楼层 ,125.51,南,简装,无
160,大正莅江一期,松北,125.0,2室2厅1厨2卫,中楼层 ,133.18,南,精装,有
161,南通大街,南岗,105.0,3室1厅1厨1卫,中楼层 ,96.17,东,简装,无
162,红星威尼斯庄园,松北,139.8,3室2厅1厨2卫,中楼层 ,138.74,南,精装,有
163,恒大绿洲,松北,80.0,3室1厅1厨2卫,中楼层 ,129.36,东,精装,有
164,群力新苑东区,道里,150.0,2室2厅1厨1卫,中楼层 ,126.97,南,精装,有
