index,小区,市区,价格,户型,楼层,面积,朝向,装修,电梯
3373,福順尚景,道里,93.0,2室1厅1厨1卫,低楼层 ,90.89,南,其他,有
3374,征跃小区,南岗,39.8,1室1厅1厨1卫,高楼层 ,67.48,南,其他,有
3375,群力家园E区,道里,115.0,2室1厅1厨1卫,中楼层 ,110.0,南,精装,有
3376,丽郡,香坊,49.8,2室1厅1厨1卫,中楼层 ,62.26,南,精装,未知
3377,悦城,南岗,135.0,2室1厅1厨1卫,低楼层 ,116.91,南,简装,有
3378,罗马公元,香坊,79.8,2室1厅1厨1卫,中楼层 ,78.0,西南,精装,有
3379,安化街(安和街),道里,14.0,2室1厅1厨1卫,高楼层 ,46.4,南,其他,无
3380,古香街,香坊,35.0,2室1厅1厨1卫,中楼层 ,47.04,南,简装,无
3381,华润欢乐颂,松北,84.8,2室1厅1厨1卫,高楼层 ,91.24,南,精装,有
3382,钻石湾地中海阳光,松北,144.0,2室1厅1厨1卫,中楼层 ,117.28,南,简装,无
3383,北岸润和城二期,松北,28.0,1室0厅1厨1卫,中楼层 ,42.25,南,精装,有
3384,西骑兵街,香坊,38.0,2室1厅1厨1卫,中楼层 ,60.71,南,简装,无
3385,红旗示范新区,南岗,109.0,3室1厅1厨2卫,低楼层 ,168.0,南,精装,无
3386,碧桂园欧洲城,平房,200.0,4室2厅1厨4卫,低楼层 ,210.47,毛坯,未知,未知
3387,赣水路,香坊,24.8,2室1厅1厨1卫,高楼层 ,53.67,南,其他,无
3388,宝宇凯旋城二期,道里,145.0,2室1厅1厨1卫,低楼层 ,119.27,南,其他,有
3389,辽河小区,南岗,21.0,1室1厅1厨1卫,中楼层 ,32.25,南,简装,未知
3390,海富康城,道里,69.8,2室1厅1厨1卫,高楼层 ,113.9,南,精装,无
3391,光华小区,道里,28.8,2室0厅1厨1卫,低楼层 ,42.01,南,简装,无
3392,新发小区B区,南岗,42.0,2室1厅1厨1卫,中楼层 ,65.39,南,简装,无
3393,桐楠阁领誉,道里,139.9,3室1厅1厨1卫,高楼层 ,134.27,南,精装,有
3394,康隆小区,松北,56.0,2室1厅1厨1卫,中楼层 ,122.31,东,简装,无
3395,上实海上银座,道里,179.0,2室1厅1厨1卫,中楼层 ,115.0,西北,精装,有
3396,招商贝肯山六期B,道里,199.0,3室2厅1厨2卫,中楼层 ,136.63,南,其他,有
3397,新城花园,道里,45.0,2室1厅1厨1卫,高楼层 ,66.7,西,简装,无
3398,前进家园,松北,42.8,2室1厅1厨1卫,中楼层 ,72.9,南,精装,无
3399,中海寰宇天下,道里,115.0,2室1厅1厨1卫,中楼层 ,89.0,南,精装,有
3400,白毛小区,香坊,49.0,2室1厅1厨1卫,中楼层 ,52.47,南,简装,未知
3401,龙鸿怡家,松北,120.0,4室2厅1厨2卫,高楼层 ,204.5,南,精装,有
3402,银河小区(松北区),松北,62.0,2室2厅1厨2卫,中楼层 ,141.12,南,其他,无
3403,爱达88,南岗,115.0,2室1厅1厨1卫,低楼层 ,90.08,南,精装,有
3404,东方小区(道外区),道外,47.7,2室1厅1厨1卫,低楼层 ,64.79,南,精装,未知
3405,美丽洋房小区,松北,62.8,2室1厅1厨1卫,中楼层 ,93.38,南,精装,未知
3406,融创中园,松北,90.0,3室1厅1厨1卫,低楼层 ,108.0,南,其他,有
3407,招商贝肯山三期,道里,222.0,3室2厅1厨2卫,高楼层 ,135.0,南,毛坯,有
3408,经纬十道街,道里,42.0,2室1厅1厨1卫,中楼层 ,76.62,南,简装,未知
3409,世纪花园A区,松北,122.0,2室2厅1厨1卫,中楼层 ,117.0,南,其他,有
3410,龙跃金水湾,香坊,84.7,2室1厅1厨1卫,中楼层 ,81.43,西南,其他,有
3411,青年城邦小区,道外,63.0,2室1厅1厨1卫,中楼层 ,75.0,南,精装,有
3412,抚顺街,道里,115.0,3室1厅1厨2卫,中楼层 ,184.26,西南,其他,有
3413,奥林小镇,松北,239.0,4室2厅1厨2卫,低楼层 ,248.0,南,其他,有
3414,市委党校家属楼,南岗,42.0,2室1厅1厨1卫,高楼层 ,65.14,南,简装,无
3415,璞悦湾,道里,225.0,3室2厅1厨2卫,高楼层 ,141.63,南,毛坯,未知
3416,恒祥空间,道里,200.0,2室2厅1厨1卫,高楼层 ,121.0,南,精装,有
3417,中海·紫御观邸,道里,80.0,1室1厅1厨1卫,低楼层 ,49.04,南,毛坯,有
3418,世财滨江音乐花园,松北,135.0,4室3厅1厨2卫,中楼层 ,185.0,南,精装,未知
3419,和兴头道街,南岗,125.0,2室1厅1厨1卫,中楼层 ,60.0,南,毛坯,有
3420,通站街,香坊,46.0,2室0厅1厨1卫,中楼层 ,58.38,东,简装,无
3421,盟科视界,南岗,187.0,3室2厅1厨2卫,高楼层 ,167.87,南,精装,有
3422,东方玫瑰园,香坊,59.0,2室1厅1厨1卫,中楼层 ,74.0,东北,精装,有
3423,恒祥城一期,道里,129.8,2室1厅1厨1卫,中楼层 ,130.93,南,其他,有
3424,革新街,南岗,42.0,2室1厅1厨1卫,高楼层 ,58.0,西,简装,无
3425,西桥小区,南岗,43.9,2室1厅1厨1卫,中楼层 ,58.55,南,毛坯,无
3426,三松宜家,道里,120.0,3室2厅1厨1卫,高楼层 ,109.52,南,其他,有
3427,世茂都柏林,松北,108.0,2室1厅1厨1卫,高楼层 ,91.94,南,精装,有
3428,大正莅江二期,松北,88.0,2室1厅1厨1卫,低楼层 ,83.0,南,其他,有
3429,恒祥城一期,道里,75.0,2室1厅1厨1卫,低楼层 ,83.0,南,简装,有
3430,三辅三道街27号,香坊,88.0,2室2厅1厨1卫,中楼层 ,125.0,南,精装,无
3431,融创锦园,松北,145.0,3室1厅1厨2卫,低楼层 ,136.1,南,其他,未知
3432,文景街,南岗,53.0,2室1厅1厨1卫,中楼层 ,92.39,东,简装,无
3433,瀾悦東方,香坊,73.8,2室2厅1厨1卫,中楼层 ,60.65,南,简装,有
3434,光芒街(革新街),南岗,28.0,2室0厅1厨1卫,中楼层 ,51.94,南,精装,未知
3435,北岸明珠,松北,100.0,2室2厅1厨1卫,中楼层 ,114.03,南,其他,有
3436,海富禧园,道里,56.0,1室1厅1厨1卫,中楼层 ,48.84,东,其他,有
3437,松浦·观江国际A区,松北,85.0,2室1厅1厨1卫,低楼层 ,115.08,东,精装,有
3438,中兴家园,道里,86.0,2室1厅1厨1卫,低楼层 ,105.48,南,简装,有
3439,海富名都城,南岗,147.0,2室2厅1厨1卫,中楼层 ,127.86,南,简装,有
3440,地德里小区(抚顺街),道里,43.8,2室1厅1厨1卫,低楼层 ,55.0,南,精装,未知
3441,江北运华广场,松北,62.0,2室1厅1厨1卫,低楼层 ,97.68,西北,简装,有
3442,工程街,道里,19.0,2室0厅1厨1卫,中楼层 ,32.0,南,其他,未知
3443,恒大帝景,道里,110.0,2室2厅1厨1卫,高楼层 ,86.0,南,其他,有
3444,华尚·万象新天,松北,64.8,2室1厅1厨1卫,高楼层 ,95.0,南,简装,有
3445,郁金台,道里,126.0,3室2厅1厨2卫,低楼层 ,125.49,东南,毛坯,有
3446,天悦国际,南岗,85.0,2室2厅1厨2卫,中楼层 ,64.43,南,其他,有
3447,顺迈欣郡一期,呼兰区,33.0,1室1厅1厨1卫,中楼层 ,48.17,南,精装,无
3448,幸福家园,香坊,160.0,2室2厅1厨1卫,中楼层 ,160.0,南,精装,有
3449,邮政街(上夹树街),南岗,78.0,3室1厅1厨1卫,中楼层 ,76.13,南,精装,无
3450,海富康城,道里,70.0,2室1厅1厨1卫,低楼层 ,76.54,西,其他,无
3451,红星威尼斯庄园,松北,74.5,3室1厅1厨1卫,中楼层 ,103.0,南,毛坯,有
3452,地德里小区(抚顺街),道里,117.0,3室1厅1厨1卫,高楼层 ,125.82,南 东,简装,无
3453,文道花园,南岗,120.0,2室2厅1厨1卫,低楼层 ,113.93,南,简装,有
3454,美晨家园,道里,46.0,2室1厅1厨1卫,高楼层 ,65.91,南,简装,无
3455,新发小区E区,南岗,43.0,3室1厅1厨1卫,中楼层 ,62.17,东,简装,未知
3456,鸿朗花园北区,南岗,65.0,2室1厅1厨1卫,高楼层 ,114.74,南,精装,无
3457,北岸明珠,松北,116.0,2室1厅1厨1卫,中楼层 ,129.04,南,简装,有
3458,元士街,南岗,65.8,2室1厅1厨1卫,高楼层 ,60.01,南,简装,无
3459,滨才凤栖湖,呼兰区,48.0,2室1厅1厨1卫,低楼层 ,108.85,南,精装,有
3460,汇锦庄园,道里,625.0,4室2厅1厨3卫,高楼层 ,308.0,南,精装,有
3461,领域佳境,南岗,41.8,2室1厅1厨1卫,低楼层 ,60.98,南,简装,有
3462,富达蓝山,道外,69.0,2室1厅1厨1卫,中楼层 ,76.25,东北,精装,有
3463,万象上东,香坊,149.8,2室2厅1厨2卫,中楼层 ,108.48,南,简装,有
3464,众和城,松北,26.9,1室0厅1厨1卫,中楼层 ,53.0,南,精装,有
3465,阳光绿景,香坊,98.0,2室2厅1厨1卫,中楼层 ,119.81,东 西,简装,有
3466,六顺街,香坊,29.8,1室1厅1厨1卫,中楼层 ,43.76,东,简装,无
3467,欧洲新城,道里,125.0,2室1厅1厨1卫,高楼层 ,119.96,南,其他,有
3468,富丽国际西区,香坊,105.0,3室2厅1厨2卫,高楼层 ,136.4,东 西南,精装,有
3469,通达街(道里区),道里,46.8,2室1厅1厨1卫,高楼层 ,59.55,南,其他,无
3470,珑瑞小区,香坊,62.0,2室1厅1厨1卫,中楼层 ,95.37,东,精装,无
3471,文教街,南岗,9.5,1室0厅1厨1卫,高楼层 ,35.52,西南,简装,无
3472,恒大锦苑,松北,86.0,2室1厅1厨1卫,低楼层 ,105.19,北 南,精装,有
3473,征仪路花园小区A区西区,南岗,36.8,2室1厅1厨1卫,中楼层 ,57.52,西,简装,无
3474,邮政街(上夹树街),南岗,59.8,2室1厅1厨1卫,中楼层 ,63.0,南,精装,有
3475,森林人家,香坊,43.0,2室1厅1厨1卫,高楼层 ,68.2,西,简装,无
3476,世茂滨江 法兰西,松北,128.0,3室2厅1厨2卫,中楼层 ,148.0,南,精装,有
3477,木兰街,南岗,75.0,2室1厅1厨1卫,中楼层 ,51.53,南,简装,无
3478,锦绣家园中区,松北,60.0,1室1厅1厨1卫,中楼层 ,81.65,南,简装,有
3479,恒大珺庭,南岗,129.5,3室1厅1厨1卫,低楼层 ,112.52,南,精装,有
3480,华润·凯旋门,南岗,159.8,3室1厅1厨1卫,低楼层 ,103.57,南,精装,有
3481,恒祥大厦,道里,145.0,2室2厅1厨1卫,高楼层 ,126.63,南,其他,有
3482,民生尚都祥园,道里,38.5,2室1厅1厨1卫,低楼层 ,67.71,北 南,简装,有
3483,万达华宅E区,南岗,183.0,2室2厅1厨2卫,低楼层 ,107.22,南,精装,有
3484,西桥小区,南岗,27.0,1室0厅1厨1卫,中楼层 ,32.0,西南,精装,无
3485,宝宇凯旋城一期,道里,185.0,4室2厅2厨2卫,低楼层 ,196.19,南,简装,有
3486,辰能溪树庭院,南岗,315.0,3室2厅1厨2卫,高楼层 ,167.0,南,其他,有
3487,辽河小区,南岗,25.0,2室1厅1厨1卫,高楼层 ,44.57,南,精装,无
3488,世茂滨江▪澳洲风情园,松北,120.0,4室2厅1厨2卫,低楼层 ,177.0,南,毛坯,有
3489,一曼街,南岗,120.0,3室1厅1厨1卫,中楼层 ,104.14,南,简装,未知
3490,地恒托斯卡纳三期,呼兰区,67.8,2室1厅1厨1卫,高楼层 ,101.0,南,精装,有
3491,招商贝肯山三期,道里,153.0,2室2厅1厨1卫,高楼层 ,91.35,南,精装,有
3492,安丰街,道里,20.0,1室0厅1厨1卫,低楼层 ,32.51,南,其他,无
3493,盟科涵舍,南岗,102.0,2室1厅1厨1卫,中楼层 ,77.41,南,精装,有
3494,桥南小区,南岗,53.8,2室1厅1厨1卫,中楼层 ,54.65,南,精装,未知
3495,河政花园（公务员小区）,道里,125.0,3室1厅1厨1卫,低楼层 ,126.0,南,精装,未知
3496,观江首府,道里,240.0,3室2厅1厨2卫,高楼层 ,199.56,南,毛坯,有
3497,群力家园D区,道里,93.0,2室2厅1厨1卫,高楼层 ,107.0,南,精装,有
3498,保利城三期,道里,93.0,2室1厅1厨1卫,高楼层 ,94.83,南,精装,有
3499,海富漫香林,香坊,108.8,3室2厅1厨2卫,低楼层 ,148.71,南,简装,有
3500,金瑞林城,香坊,51.8,2室1厅1厨1卫,高楼层 ,66.54,东,精装,有
3501,河松小区二期,道里,50.0,2室1厅1厨1卫,高楼层 ,90.52,南,简装,有
3502,桥北小区,南岗,88.8,3室1厅1厨1卫,高楼层 ,130.44,南,精装,无
3503,金瑞林城,香坊,75.0,2室1厅1厨1卫,中楼层 ,88.63,西北,精装,有
3504,壹江南,道里,420.0,3室1厅1厨2卫,中楼层 ,196.0,南,简装,有
3505,保利公园九号,松北,92.0,2室1厅1厨1卫,高楼层 ,111.3,南,其他,有
3506,三精家园,道里,62.8,4室2厅1厨3卫,高楼层 ,216.16,南,简装,未知
3507,征跃小区,南岗,40.5,1室1厅1厨1卫,高楼层 ,68.22,南,精装,有
3508,巴黎广场,香坊,102.0,2室1厅1厨1卫,中楼层 ,94.2,西,其他,有
3509,中兴家园,道里,82.5,2室1厅1厨1卫,低楼层 ,92.0,南,精装,有
3510,爱建涛园,道里,130.0,2室1厅1厨1卫,中楼层 ,122.0,南,精装,有
3511,世茂威廉公馆,松北,150.0,4室2厅1厨2卫,中楼层 ,209.71,南,其他,有
3512,桐楠阁领誉,道里,64.0,2室1厅1厨1卫,中楼层 ,64.75,南,精装,有
3513,宣化街,南岗,35.5,2室1厅1厨1卫,中楼层 ,47.1,南,简装,无
3514,恒大名都,松北,150.9,3室2厅1厨2卫,中楼层 ,155.0,南 东,其他,有
3515,松浦·观江国际A区,松北,75.0,2室1厅1厨1卫,中楼层 ,94.91,西南,其他,有
3516,市检察院家属楼,南岗,52.5,2室1厅1厨1卫,中楼层 ,60.55,南,精装,未知
3517,平公街,南岗,45.8,1室2厅1厨1卫,高楼层 ,95.56,东,简装,未知
3518,尚熙雅轩,南岗,57.0,2室1厅1厨0卫,低楼层 ,61.22,西北,简装,有
3519,四季上东第二期,香坊,215.0,2室2厅1厨2卫,低楼层 ,130.1,南,其他,有
3520,大众新城二期,南岗,98.0,3室2厅1厨2卫,高楼层 ,156.0,南,精装,无
3521,汇锦御江湾,松北,103.0,2室1厅1厨1卫,低楼层 ,86.38,北 南,精装,有
3522,城东新居B区,香坊,29.8,2室2厅1厨1卫,高楼层 ,74.16,南,精装,无
3523,群力新城北区,道里,459.8,4室2厅1厨3卫,中楼层 ,204.0,南,精装,有
3524,四季上东一期,香坊,210.0,1室2厅1厨1卫,高楼层 ,137.57,东,简装,有
3525,曲线街,南岗,46.8,1室1厅1厨1卫,低楼层 ,63.25,南,其他,无
3526,学府花园,南岗,93.0,2室1厅1厨1卫,中楼层 ,115.0,南,精装,无
3527,中海·雍景熙岸,南岗,129.9,2室1厅1厨1卫,中楼层 ,89.65,南,其他,有
3528,漫步·巴黎,道里,92.5,2室1厅1厨1卫,低楼层 ,87.04,东北,其他,未知
3529,钻石湾地中海阳光,松北,186.0,3室2厅1厨2卫,中楼层 ,128.01,南,精装,无
3530,紫金城,道里,116.0,2室1厅1厨1卫,低楼层 ,112.84,南,其他,有
3531,墅公馆,松北,66.5,3室1厅1厨2卫,高楼层 ,124.0,南,毛坯,有
3532,信恒现代城,南岗,48.0,1室1厅1厨1卫,高楼层 ,69.53,东南,简装,无
3533,南方花园,道里,74.0,2室1厅1厨1卫,中楼层 ,92.21,南,精装,未知
3534,安正街,道里,34.0,2室1厅1厨1卫,高楼层 ,61.33,南,其他,无
3535,招商贝肯山四期,道里,455.0,5室3厅1厨3卫,低楼层 ,205.68,南,毛坯,未知
3536,元士街,南岗,44.0,2室0厅1厨1卫,中楼层 ,66.0,南,其他,无
3537,融创城一期,香坊,85.8,2室1厅1厨1卫,中楼层 ,88.0,南,精装,未知
3538,乐强小区,香坊,67.0,2室1厅1厨1卫,中楼层 ,123.01,东,精装,无
3539,果园星城E区,香坊,93.8,2室1厅1厨1卫,中楼层 ,108.0,南,其他,无
3540,四季上东第二期,香坊,280.0,3室2厅1厨2卫,中楼层 ,152.03,东,其他,有
3541,盟科视界,南岗,285.0,3室2厅1厨2卫,高楼层 ,218.07,西南,精装,有
3542,大正臻园,松北,230.0,4室2厅1厨2卫,高楼层 ,142.0,南,其他,未知
3543,北岸明珠,松北,190.0,5室2厅2厨2卫,高楼层 ,222.69,东南,精装,有
3544,众和城,松北,51.0,2室1厅1厨1卫,低楼层 ,63.3,南,其他,有
3545,招商贝肯山二期,道里,118.0,2室1厅1厨1卫,高楼层 ,79.0,南,其他,有
3546,枫蓝国际,南岗,102.0,2室1厅1厨1卫,中楼层 ,87.55,东南,其他,有
3547,上和城,道外,121.0,3室1厅1厨2卫,低楼层 ,141.92,东南,精装,有
3548,星耀南城,平房,48.0,1室1厅1厨1卫,低楼层 ,65.76,西南,精装,有
3549,熙郡印象馨园,道里,44.0,2室1厅1厨1卫,低楼层 ,68.0,南,简装,有
3550,金瑞林城,香坊,104.8,3室1厅1厨2卫,低楼层 ,130.15,东南,精装,有
3551,光华小区,道里,58.8,2室1厅1厨1卫,中楼层 ,74.0,南,精装,有
3552,新阳路,道里,76.8,2室2厅1厨2卫,高楼层 ,117.0,南,精装,无
3553,钻石湾地中海阳光,松北,95.0,2室1厅1厨1卫,低楼层 ,93.11,南,精装,有
3554,世茂滨江▪澳洲风情园,松北,258.0,4室2厅1厨2卫,中楼层 ,220.0,南,精装,有
3555,万象上东,香坊,77.0,1室1厅1厨1卫,中楼层 ,56.0,东,其他,有
3556,天合俊景,道里,48.0,1室1厅1厨1卫,高楼层 ,57.61,西 南,精装,有
3557,中山名苑,香坊,87.8,2室1厅1厨1卫,高楼层 ,96.55,西,简装,有
3558,砖街,南岗,42.0,2室1厅1厨1卫,中楼层 ,60.09,东南,其他,无
3559,绿园小区,香坊,117.0,3室1厅1厨2卫,高楼层 ,115.34,南,精装,无
3560,安心街,道里,52.8,2室1厅1厨1卫,中楼层 ,66.18,南,精装,无
3561,玉翠秀府,香坊,28.8,2室1厅1厨1卫,中楼层 ,57.74,南,简装,有
3562,金瑞林城,香坊,79.8,2室1厅1厨1卫,中楼层 ,86.61,南,精装,有
3563,地德里小区(抚顺街),道里,62.0,3室1厅1厨1卫,中楼层 ,79.5,南,其他,无
3564,华润置地紫云府,香坊,142.0,2室1厅1厨1卫,高楼层 ,97.0,南,精装,有
3565,恒祥家园,道里,142.0,3室1厅1厨1卫,高楼层 ,148.0,南,精装,有
3566,河清街,道里,29.8,2室1厅1厨1卫,高楼层 ,46.4,南,精装,无
3567,宣西小区,南岗,40.5,2室1厅1厨1卫,低楼层 ,66.94,南,精装,无
3568,群力家园C区,道里,175.0,3室2厅1厨2卫,高楼层 ,142.0,南,精装,有
3569,亚麻小区,香坊,79.8,2室1厅1厨1卫,低楼层 ,61.05,南,其他,无
3570,上院,松北,85.0,3室1厅1厨1卫,中楼层 ,129.53,南,毛坯,无
3571,新发小区A区,南岗,36.0,1室1厅1厨1卫,中楼层 ,42.38,南,精装,未知
3572,汉阳街,南岗,82.0,2室1厅1厨1卫,中楼层 ,92.66,南,简装,无
3573,锦绣华城,南岗,97.0,2室1厅1厨1卫,高楼层 ,98.8,南,简装,有
3574,万达华园,松北,170.0,3室2厅1厨2卫,低楼层 ,148.0,南,毛坯,有
3575,新里海德公馆,松北,160.0,4室3厅1厨5卫,中楼层 ,284.0,南,毛坯,无
3576,巴山街,南岗,44.6,3室1厅1厨1卫,中楼层 ,62.87,东 北,简装,无
3577,祥泰人家,道里,55.0,2室1厅1厨1卫,中楼层 ,84.7,东南,其他,无
3578,花园街,南岗,128.0,2室1厅1厨1卫,中楼层 ,90.0,南,其他,无
3579,万达华园,松北,79.0,2室1厅1厨1卫,高楼层 ,93.0,南,精装,有
3580,龙鑫家园,香坊,125.0,2室1厅1厨1卫,中楼层 ,136.31,东,简装,有
3581,报达雅苑,松北,258.0,1室1厅1厨1卫,低楼层 ,231.87,精装,未知,未知
3582,河渠街,南岗,78.0,2室1厅1厨1卫,高楼层 ,55.06,南,精装,无
3583,辽河小区,南岗,31.0,2室1厅1厨1卫,中楼层 ,47.36,南,简装,无
3584,金安·向日葵,道里,248.0,3室1厅1厨1卫,低楼层 ,135.0,南,其他,有
3585,龙鸿怡家,松北,79.5,2室1厅1厨1卫,中楼层 ,94.45,南,简装,有
3586,白毛小区,香坊,62.0,2室1厅1厨1卫,中楼层 ,65.84,东,简装,有
3587,理治街,南岗,54.8,2室1厅1厨1卫,低楼层 ,46.0,南,简装,无
3588,新城里小区,平房,49.8,3室2厅1厨1卫,中楼层 ,73.0,东,精装,未知
3589,世茂滨江 法兰西,松北,94.8,2室1厅1厨1卫,高楼层 ,121.34,南,精装,有
3590,玉龙湾,松北,78.0,2室1厅1厨1卫,高楼层 ,75.0,南,精装,有
3591,十字街,南岗,77.0,3室1厅1厨1卫,中楼层 ,96.0,南,其他,未知
3592,汇龙·半岛首府,松北,380.0,4室1厅1厨3卫,中楼层 ,197.0,南,其他,未知
3593,江滨小区,道外,76.0,2室1厅1厨1卫,中楼层 ,94.57,东南,精装,有
3594,中北春城,香坊,106.0,2室1厅1厨1卫,中楼层 ,90.0,南,其他,无
3595,万达·秀园,松北,122.0,3室2厅1厨2卫,低楼层 ,137.65,南,其他,有
3596,海富山水文园二期,香坊,55.0,2室1厅1厨1卫,低楼层 ,65.08,南,其他,无
3597,万达华园,松北,130.0,3室1厅1厨2卫,高楼层 ,136.0,南,其他,有
3598,旭升小区,香坊,37.0,3室1厅1厨1卫,低楼层 ,70.7,南,简装,无
3599,仁里兴业,道外,88.0,2室1厅1厨1卫,高楼层 ,98.0,南,毛坯,有
3600,香林名苑,香坊,64.8,1室1厅1厨1卫,中楼层 ,73.95,南,其他,有
3601,凤翥街,南岗,54.0,2室1厅1厨1卫,中楼层 ,48.0,南,简装,无
3602,抚顺街,道里,63.8,2室1厅1厨1卫,高楼层 ,85.6,东,精装,无
3603,保利观澜,松北,82.0,2室1厅1厨1卫,中楼层 ,89.0,南,毛坯,有
3604,群力新城中区,道里,245.0,3室2厅1厨2卫,中楼层 ,136.11,南,精装,有
3605,海富锦园,道里,125.0,2室1厅1厨1卫,高楼层 ,90.69,南,精装,有
3606,新城小区,道里,48.0,2室1厅1厨1卫,低楼层 ,54.06,南,简装,无
3607,香滨路,香坊,95.0,2室1厅1厨1卫,中楼层 ,68.0,东,其他,未知
3608,吉星商住楼,南岗,85.0,3室1厅1厨1卫,中楼层 ,120.38,东,精装,有
3609,红旗示范新区,南岗,41.5,2室1厅1厨1卫,高楼层 ,59.0,南,精装,无
3610,翡翠城,道里,109.8,2室1厅1厨1卫,中楼层 ,109.12,东,精装,有
3611,玫瑰湾小区东区,道里,177.0,3室2厅1厨2卫,高楼层 ,149.31,南,精装,有
3612,福泰名苑,香坊,48.8,2室1厅1厨1卫,低楼层 ,96.16,南,其他,有
3613,中盟首府,松北,105.0,3室2厅1厨2卫,高楼层 ,132.68,南,毛坯,未知
3614,建新街,南岗,66.8,2室1厅1厨1卫,中楼层 ,72.0,南,精装,无
3615,健康路,香坊,96.0,2室1厅1厨1卫,中楼层 ,130.91,南,简装,未知
3616,新发小区D区,南岗,34.0,2室1厅1厨1卫,低楼层 ,51.36,南,其他,无
3617,盟科视界,南岗,168.0,2室1厅1厨1卫,中楼层 ,133.6,南,其他,有
3618,人和名苑,南岗,146.0,3室1厅1厨2卫,中楼层 ,209.33,南,精装,无
3619,城市之星,松北,78.8,1室1厅1厨1卫,中楼层 ,65.3,南,精装,有
3620,民香小区,香坊,72.0,2室1厅1厨1卫,中楼层 ,62.0,东,简装,无
3621,会展家园小区,道外,52.0,2室1厅1厨1卫,低楼层 ,72.28,南,精装,未知
3622,曲线街,南岗,48.8,2室1厅1厨1卫,中楼层 ,54.2,南,简装,无
3623,恒盛豪庭,道里,158.0,2室1厅1厨1卫,中楼层 ,110.0,南,精装,有
3624,大正莅江二期,松北,111.0,2室1厅1厨1卫,高楼层 ,96.36,西,精装,有
3625,锦园,道里,158.0,2室2厅1厨2卫,低楼层 ,132.0,南,其他,有
3626,金博花园南区,南岗,151.8,3室2厅1厨2卫,中楼层 ,178.61,南,其他,未知
3627,海富康城,道里,150.0,3室1厅1厨2卫,中楼层 ,163.0,东,其他,无
3628,华润中海江城,松北,128.0,3室1厅1厨1卫,高楼层 ,119.0,南,毛坯,有
3629,福顺尚都,南岗,52.0,1室0厅1厨1卫,高楼层 ,53.86,南,精装,有
3630,永吉家园,香坊,53.0,2室1厅1厨1卫,中楼层 ,68.9,南,其他,未知
3631,海城街,道里,52.8,2室1厅1厨1卫,高楼层 ,67.81,南,简装,未知
3632,恒祥中山,香坊,85.8,2室1厅1厨1卫,低楼层 ,71.7,东,简装,有
3633,万科招商二期,香坊,98.8,3室2厅1厨2卫,中楼层 ,133.6,南,精装,有
3634,新大发国际A区,道里,94.3,2室1厅1厨1卫,低楼层 ,104.97,南,精装,有
3635,景苑公寓,南岗,89.9,2室1厅1厨1卫,高楼层 ,100.74,东,简装,有
3636,立汇美罗湾,香坊,46.8,2室2厅1厨1卫,高楼层 ,79.8,东南,简装,无
3637,清河湾小区,道里,38.0,2室1厅1厨1卫,高楼层 ,64.0,南,其他,无
3638,香林名苑,香坊,44.5,1室1厅1厨1卫,低楼层 ,58.0,南,其他,有
3639,阳光印象,道里,112.0,2室1厅1厨1卫,低楼层 ,96.25,南,简装,有
3640,龙兴大厦,南岗,184.9,2室1厅1厨1卫,中楼层 ,132.67,东,简装,有
3641,招商贝肯山,道里,80.0,1室1厅1厨1卫,高楼层 ,54.11,南,其他,有
3642,华山小区,南岗,22.8,2室1厅1厨1卫,高楼层 ,43.28,西,简装,无
3643,一曼街,南岗,52.0,2室1厅1厨1卫,低楼层 ,60.12,南,简装,未知
3644,大成街,南岗,53.0,3室1厅1厨1卫,高楼层 ,114.0,南,精装,无
3645,格兰云天,香坊,55.8,2室1厅1厨1卫,低楼层 ,70.21,西南南,简装,有
3646,白毛小区,香坊,62.0,2室1厅1厨1卫,高楼层 ,77.93,南,简装,无
3647,福顺尚都,南岗,59.6,1室1厅1厨1卫,中楼层 ,62.88,东,简装,有
3648,远创樾府,香坊,128.0,3室1厅1厨1卫,低楼层 ,132.0,南,精装,有
3649,恒大雅苑,道里,110.0,3室1厅1厨1卫,中楼层 ,107.0,南,其他,有
3650,上院,松北,75.0,2室2厅1厨1卫,中楼层 ,103.33,南,简装,有
3651,江北运华广场,松北,65.0,2室1厅1厨1卫,高楼层 ,96.84,东南,精装,有
3652,金海城,南岗,30.0,2室1厅1厨1卫,高楼层 ,56.0,南,其他,无
3653,清河湾小区,道里,46.0,2室1厅1厨1卫,中楼层 ,55.63,南,简装,无
3654,新阳路,道里,55.0,3室2厅1厨1卫,高楼层 ,139.37,南,精装,无
3655,华润中海江城,松北,210.0,3室2厅1厨2卫,中楼层 ,138.0,南,毛坯,有
3656,安固街,道里,43.8,3室1厅1厨1卫,中楼层 ,63.0,南,其他,无
3657,北岸·润和城,松北,69.0,2室1厅1厨1卫,中楼层 ,117.46,东,精装,有
3658,爱达·尊御,南岗,120.0,2室1厅1厨1卫,高楼层 ,94.39,南,精装,未知
3659,东辉明珠园,南岗,125.0,2室1厅1厨1卫,中楼层 ,107.0,南,毛坯,有
3660,群力新城中区,道里,220.0,3室2厅1厨2卫,高楼层 ,161.0,南,其他,有
3661,保利公园九号,松北,48.0,2室1厅1厨1卫,高楼层 ,88.0,南,精装,无
3662,汇龙·半岛首府,松北,280.0,3室2厅1厨3卫,低楼层 ,176.76,南,其他,有
